title,Rating,maincateg,platform,actprice1,norating1,noreviews1,star_5f,star_4f,star_3f,star_2f,star_1f,fulfilled1,combo,category
Flip Flops,3.3,Women,Flipkart,499,4.0,1.0,1.0,1.0,0.0,2,0.0,0,False,flip
Inklenzo Men's White Sneakers Running and outdoor Gym Walking Daily Wear Shoes Dancing Shoes For Men  (White),4.0,Men,Flipkart,999,706.0,79.0,412.0,96.0,78.0,35,85.0,1,False,sneaker
Bellies For Women  (Blue),4.1,Women,Flipkart,1499,275.0,41.0,133.0,85.0,26.0,13,18.0,1,False,bellie
REFINE ADAPT Running Shoes For Women  (Grey),4.1,Women,Flipkart,3999,148.0,11.0,85.0,29.0,15.0,6,13.0,1,False,shoe
Stylish Casual Sports Shoe Casuals For Women  (White),4.2,Women,Flipkart,999,375.0,59.0,215.0,81.0,36.0,15,28.0,0,False,shoe
Jutis For Women  (Multicolor),3.8,Women,Flipkart,999,346.0,53.0,165.0,65.0,47.0,26,43.0,0,False,juti
Slippers,4.2,Women,Flipkart,599,11.0,1.0,6.0,3.0,1.0,0,1.0,0,False,slipper
Stylish Casual Party wear Light weight jutti For Men  (Black),3.9,Men,Flipkart,999,469.0,53.0,256.0,71.0,54.0,24,64.0,0,False,casual
CITY RUNNER Running Shoe For Women  (Navy),4.4,Women,Flipkart,3599,94.0,5.0,55.0,28.0,6.0,3,2.0,1,False,shoe
NUM0007 Monk Strap For Men  (Tan),4.0,Men,Flipkart,799,46.0,6.0,30.0,3.0,3.0,4,6.0,0,False,other
Loafers For Men  (Brown),4.2,Men,Flipkart,999,1501.0,170.0,930.0,259.0,123.0,68,121.0,0,False,other
mid heel ankle Boots For Women  (Tan),4.8,Women,Flipkart,6099,5.0,1.0,4.0,1.0,0.0,0,0.0,0,False,boot
Synthetic Leather Casual Partywear Boots Casaul Shoes For Women's And Girls Boots For Women  (Beige),4.2,Women,Flipkart,999,512.0,77.0,279.0,124.0,53.0,19,37.0,1,False,boot
By Bata NEW BOUNCE SLIP O Slip On For Men  (Brown),4.2,Men,Flipkart,3699,538.0,89.0,290.0,149.0,53.0,15,31.0,1,False,other
Stylish Lace Up For Women  (Black),2.6,Women,Flipkart,1299,7.0,0.0,1.0,1.0,1.0,2,2.0,0,False,other
Slippers,3.8,Women,Flipkart,599,587.0,73.0,275.0,127.0,63.0,36,78.0,0,False,slipper
Men Navy Sandal,4.1,Men,Flipkart,599,3142.0,482.0,1573.0,905.0,374.0,130,160.0,0,False,sandal
ARYA - DIFFERENT EDGE Bellies For Women  (Pink),4.1,Women,Flipkart,4299,167.0,24.0,94.0,39.0,12.0,6,15.0,1,False,bellie
Zod Runner V3 IDP Running Shoes For Men  (White),4.1,Men,Flipkart,3999,27353.0,3083.0,14957.0,6256.0,2675.0,1180,2285.0,1,False,shoe
CRYSTA Running Shoes For Men  (Black),4.2,Men,Flipkart,1049,0.0,0.0,11192.0,4505.0,2003.0,756,1316.0,1,False,shoe
CITY RUNNER Running Shoe For Women  (Navy),4.4,Women,Flipkart,3599,94.0,5.0,55.0,28.0,6.0,3,2.0,1,False,shoe
SL-138 Casuals For Women  (White),4.1,Women,Flipkart,625,368.0,68.0,201.0,79.0,51.0,11,26.0,1,False,casual
Lightweight Gymwear Sport Shoes Running Shoes For Women  (Multicolor),4.5,Women,Flipkart,999,28.0,9.0,19.0,5.0,1.0,1,1.0,0,False,shoe
Colombo Oxford For Men  (Black),3.8,Men,Flipkart,5990,45.0,4.0,25.0,5.0,4.0,3,8.0,1,False,other
Men's Brown Jalsa Traditional Leather jutti Mojari Mojaris For Men  (Brown),3.0,Men,Flipkart,699,6.0,1.0,2.0,0.0,1.0,2,1.0,0,False,mojaris
"Latest Collection, Comfortable & Fashionable Bellies for Women's and Girl's Pack of 1 Bellies For Women  (Blue)",3.8,Women,Flipkart,499,128.0,15.0,63.0,22.0,16.0,6,21.0,0,False,bellie
Best quality Pure Leather Formal Shoes For Men Slip On For Men  (Black),3.6,Men,Flipkart,1499,22.0,3.0,11.0,2.0,4.0,0,5.0,0,False,shoe
Trenzo Wn s II IDP Training & Gym Shoes For Women  (Beige),4.3,Women,Flipkart,2999,81.0,12.0,47.0,20.0,6.0,2,4.0,1,False,shoe
Women Tan Flats Sandal,3.9,Women,Flipkart,749,228.0,43.0,124.0,35.0,28.0,15,26.0,1,False,sandal
Nike Air Zoom Winflo 6Women's Running Shoe Running Shoes For Women  (Black),4.3,Women,Flipkart,7995,43.0,6.0,26.0,11.0,1.0,2,3.0,1,False,shoe
Slippers Flip Flops,3.9,Men,Flipkart,999,9515.0,1052.0,5078.0,1618.0,1160.0,581,1078.0,0,False,flip
HHM Sneakers For Men  (Black),4.2,Men,Flipkart,999,46.0,5.0,27.0,8.0,5.0,5,1.0,0,False,sneaker
Hush Puppies Black Leather Shoes For Men Slip On For Men  (Black),4.4,Men,Flipkart,2999,0.0,0.0,6.0,3.0,2.0,1,0.0,0,False,shoe
GO RUN FAST-FLOAT Running Shoes For Women  (White),4.7,Women,Flipkart,5499,20.0,4.0,16.0,3.0,0.0,0,1.0,1,False,shoe
Women Black Heels Sandal,4.0,Women,Flipkart,839,66.0,16.0,35.0,14.0,7.0,3,7.0,0,False,sandal
"Ladies Inner High Heel Sports Leisure Lace Running Shoes,Super Soft and comfortable Sneakers Running Shoes For Women  (White)",4.4,Women,Flipkart,999,1568.0,303.0,1072.0,285.0,109.0,32,70.0,1,False,sneaker
Men's Synthetic Leather Long Boots Boots For Men  (Brown),3.6,Men,Flipkart,999,52.0,10.0,24.0,9.0,5.0,4,10.0,0,False,boot
Women Red Heels Sandal,3.8,Women,Flipkart,999,96.0,16.0,43.0,25.0,9.0,6,13.0,0,False,sandal
Women Gold Wedges Sandal,3.3,Women,Flipkart,999,43.0,5.0,13.0,8.0,11.0,3,8.0,0,False,sandal
Women Black Flats Sandal,3.9,Women,Flipkart,799,416.0,50.0,205.0,102.0,51.0,23,43.0,0,False,sandal
Casuals For Women  (Pink),4.0,Women,Flipkart,499,2286.0,380.0,1133.0,580.0,284.0,114,176.0,1,False,casual
Canvas Shoes For Men  (Black),3.7,Men,Flipkart,999,282.0,34.0,134.0,48.0,29.0,25,46.0,0,False,shoe
Women Red Wedges Sandal,4.1,Women,Flipkart,799,265.0,30.0,136.0,68.0,31.0,14,16.0,1,False,sandal
Combo pack of 2 casual sneaker shoes for men Sneakers For Men  (Multicolor),3.7,Men,Flipkart,998,0.0,0.0,472.0,236.0,118.0,39,79.0,1,True,sneaker
Corporate XIV Office Formal shoes Lace Up For Men  (Black),3.8,Men,Flipkart,999,45.0,6.0,24.0,8.0,3.0,2,8.0,0,False,shoe
Men's Leather Juttis Mojri Black Jutis For Men  (Black),4.0,Men,Flipkart,999,294.0,39.0,161.0,46.0,39.0,17,31.0,0,False,juti
Women Black Flats Sandal,4.1,Women,Flipkart,999,377.0,50.0,179.0,107.0,53.0,16,22.0,1,False,sandal
Cruxston Wn s MU IDP Running Shoes For Women  (Black),4.2,Women,Flipkart,3999,399.0,43.0,215.0,101.0,46.0,12,25.0,1,False,shoe
Slides,3.9,Men,Flipkart,299,2060.0,210.0,1024.0,384.0,277.0,139,236.0,1,False,other
Sparx Men's Sc0162g Sneakers,4.0,Men,Amazon,1199,228.0,126.0,10.0,3.0,12.0,25,51.0,1,False,sneaker
"Elasto-02 Navy Maroon Running Shoes For Women  (Navy, Maroon)",4.2,Women,Flipkart,1696,34654.0,5096.0,36787.0,9418.0,5374.0,1502,2114.0,1,False,shoe
Sneakers For Women  (Pink),4.4,Women,Flipkart,899,27.0,4.0,14.0,9.0,2.0,0,1.0,0,False,sneaker
Women Black Wedges Sandal,4.3,Women,Flipkart,4499,47.0,7.0,27.0,11.0,6.0,2,1.0,1,False,sandal
Derby For Men  (Brown),3.9,Men,Flipkart,999,505.0,63.0,244.0,104.0,70.0,30,57.0,1,False,other
"Black Gold Party wear punjabi Jutis For Women  (Gold, Black)",3.8,Women,Flipkart,599,121.0,18.0,62.0,19.0,13.0,11,16.0,0,False,juti
Karnaaz Men's Lace-up Casual Sports Sneakers Canvas Shoes,4.2,Men,Amazon,413,61.0,48.0,7.0,2.0,11.0,32,93.0,0,False,sneaker
Casuals For Men  (White),4.1,Men,Flipkart,499,763.0,107.0,453.0,132.0,62.0,35,81.0,1,False,casual
"Latest Stylish Look Lightweight-Silicon Rubber Flip Flop for Men's & Boy's| Sweat Resistant, Non Slip and Water-Proof Slides - Indoor and Outdoor Casual wear Slippers Slides",3.8,Men,Flipkart,863,5995.0,723.0,2789.0,1312.0,1167.0,226,1262.0,1,False,casual
Men Brown Flats Sandal,3.6,Men,Flipkart,1599,2568.0,284.0,1144.0,389.0,370.0,239,426.0,1,False,sandal
White Casual Shoes Sneakers For Men  (White),4.1,Men,Flipkart,999,829.0,99.0,453.0,185.0,78.0,29,84.0,1,False,sneaker
Men Black Sandal,4.2,Men,Flipkart,699,0.0,0.0,2065.0,1163.0,451.0,152,299.0,1,False,sandal
Slip On For Women  (Grey),4.2,Women,Flipkart,1599,205.0,31.0,113.0,46.0,25.0,6,15.0,1,False,other
Slip On For Men  (Brown),4.1,Men,Flipkart,1299,586.0,78.0,271.0,183.0,77.0,19,36.0,1,False,other
Women Black Heels Sandal,3.0,Women,Flipkart,999,7.0,2.0,2.0,2.0,0.0,0,3.0,0,False,sandal
Casuals For Men  (Black),4.1,Men,Flipkart,999,2501.0,426.0,1400.0,451.0,277.0,125,248.0,0,False,casual
Women Red Heels Sandal,3.7,Women,Flipkart,699,125.0,20.0,49.0,28.0,22.0,9,17.0,0,False,sandal
Flip Flops,4.4,Women,Flipkart,1995,38.0,3.0,25.0,8.0,3.0,0,2.0,0,False,flip
Sneakers For Women  (White),4.2,Women,Flipkart,999,9675.0,1363.0,5886.0,1915.0,884.0,370,621.0,0,False,sneaker
By Bata Slip On For Men  (Brown),3.9,Men,Flipkart,3499,55.0,5.0,27.0,11.0,7.0,2,8.0,1,False,other
Women Red Flats Sandal,4.0,Men,Flipkart,999,0.0,0.0,314.0,146.0,55.0,36,55.0,1,False,sandal
"Men Orange, Khaki Casual Sandal",3.9,Men,Flipkart,998,164.0,12.0,86.0,27.0,19.0,11,21.0,1,False,sandal
New Trendy Fashionable And Comfortable 3 Combo Sneakers Partywear Shoes Casual wear Sneakers For Women And Girls Sneakers For Women  (Multicolor),4.0,Women,Flipkart,1497,766.0,129.0,383.0,169.0,107.0,37,70.0,1,True,sneaker
Women Maroon Heels Sandal,4.1,Women,Flipkart,999,78.0,4.0,49.0,11.0,4.0,4,10.0,0,False,sandal
Slides,4.7,Women,Flipkart,999,6.0,2.0,4.0,2.0,0.0,0,0.0,0,False,other
Women Beige Heels Sandal,4.0,Women,Flipkart,999,109.0,14.0,50.0,35.0,6.0,5,13.0,1,False,sandal
Slippers,4.6,Women,Flipkart,999,0.0,0.0,32.0,16.0,8.0,3,5.0,0,False,slipper
Men Brown Casual Sandal,3.8,Men,Flipkart,999,16200.0,1944.0,7655.0,3114.0,2269.0,1221,1942.0,1,False,sandal
Slides,4.1,Men,Flipkart,499,8408.0,1139.0,4787.0,1470.0,948.0,459,744.0,1,False,other
Women Navy Sports Sandal,4.4,Women,Flipkart,4317,299.0,45.0,175.0,45.0,35.0,5,11.0,1,False,sandal
Boots For Women  (Beige),4.4,Women,Flipkart,1999,38.0,6.0,25.0,9.0,2.0,0,2.0,1,False,boot
Casuals For Women  (Burgundy),3.3,Women,Flipkart,499,21.0,3.0,8.0,3.0,3.0,1,6.0,0,False,casual
MAGNUS SLIPON Slip On For Men  (Black),4.2,Men,Flipkart,1299,132.0,18.0,72.0,33.0,17.0,5,5.0,1,False,other
Comfortable Men's Canvas Black Boxer Shoes Walking Casual Sport Running Canvas Sneaker Shoes for Men/Boy High Tops For Men  (Black),4.0,Men,Flipkart,599,1307.0,144.0,761.0,173.0,114.0,72,187.0,0,False,sneaker
FV405-8 Jutis For Women  (Gold),3.9,Men,Flipkart,400,0.0,0.0,84.0,42.0,18.0,8,16.0,0,False,juti
Men Black Sandal,3.6,Men,Flipkart,1999,2417.0,334.0,1095.0,376.0,302.0,211,433.0,1,False,sandal
Longwalk Women's Sneaker,3.8,Women,Amazon,629,130.0,47.0,12.0,6.0,16.0,23,43.0,0,False,sneaker
"INDUS-251 Running Shoes For Men  (White, Black)",4.0,Men,Flipkart,799,13402.0,2088.0,6679.0,3236.0,1735.0,694,1058.0,0,False,shoe
Boots For Women  (Beige),3.5,Women,Flipkart,1999,51.0,5.0,23.0,6.0,8.0,3,11.0,0,False,boot
ALAN THONG Slippers,3.8,Men,Flipkart,1299,381.0,60.0,175.0,83.0,45.0,24,54.0,1,False,slipper
"SX9034G Walking Shoes For Men  (Navy, Red)",4.0,Men,Flipkart,949,90.0,10.0,51.0,16.0,8.0,6,9.0,1,False,shoe
Men's Golden Silk Sherwani Jutti Jutis For Men  (Gold),4.0,Men,Flipkart,799,118.0,11.0,63.0,24.0,13.0,6,12.0,0,False,juti
Men Navy Sports Sandal,4.1,Men,Flipkart,699,15989.0,2144.0,7953.0,4143.0,1919.0,756,1218.0,1,False,sandal
"Latest Ladies Inner High Heel Sports SUP Lace Running Shoes,Super Soft and comfortable Sneakers Running Shoes For Women  (Pink)",4.3,Men,Flipkart,1599,0.0,428.0,778.0,400.0,189.0,59,130.0,1,False,sneaker
Women Beige Flats Sandal,3.8,Women,Flipkart,549,904.0,115.0,412.0,169.0,136.0,70,117.0,1,False,sandal
Sneakers For Men  (Black),3.8,Men,Flipkart,1999,440.0,41.0,227.0,67.0,50.0,34,62.0,0,False,sneaker
Women's Red Velvet Ethnic Silver Thread Work Jutti Jutis For Women  (Maroon),3.8,Women,Flipkart,499,12.0,2.0,6.0,2.0,2.0,0,2.0,0,False,juti
Men Grey Flats Sandal,4.1,Men,Flipkart,2799,214.0,25.0,101.0,74.0,15.0,7,17.0,1,False,sandal
Ethnic Multicolor jutti Bellies For Women  (Multicolor),4.1,Women,Flipkart,599,35.0,5.0,19.0,7.0,5.0,3,1.0,0,False,bellie
571 Classic Formal Lace Up For Men  (Black),3.9,Men,Flipkart,1099,15524.0,1980.0,7339.0,3493.0,2304.0,911,1477.0,1,False,other
Slippers,3.6,Men,Flipkart,499,706.0,79.0,332.0,102.0,72.0,71,129.0,1,False,slipper
Running Shoes For Men  (White),4.2,Men,Flipkart,1449,25.0,3.0,16.0,5.0,0.0,1,3.0,1,False,shoe
Rocking Long Boots For Men  (Black),4.0,Men,Flipkart,499,6738.0,961.0,3673.0,1139.0,829.0,376,721.0,0,False,boot
For Women  (White),4.2,Women,Flipkart,999,339.0,70.0,194.0,77.0,34.0,6,27.0,0,False,other
Women Black Flats Sandal,4.1,Women,Flipkart,999,377.0,50.0,177.0,107.0,53.0,16,22.0,1,False,sandal
Women Brown Wedges Sandal,3.6,Women,Flipkart,1890,57.0,3.0,22.0,13.0,8.0,8,6.0,1,False,sandal
785 Belly Bellies For Women  (Brown),4.0,Women,Flipkart,799,252.0,35.0,125.0,58.0,28.0,17,24.0,1,False,bellie
ELISE Women's Sneakers,4.1,Women,Amazon,397,205.0,77.0,9.0,4.0,8.0,23,56.0,0,False,sneaker
Acrux IDP Sneakers For Men  (Blue),4.2,Men,Flipkart,3299,2654.0,312.0,1474.0,703.0,238.0,62,177.0,1,False,sneaker
Flip Flops,3.9,Men,Flipkart,999,0.0,0.0,920.0,460.0,209.0,97,154.0,0,False,flip
Casuals For Women  (Pink),4.3,Women,Flipkart,1499,68.0,8.0,35.0,22.0,4.0,4,1.0,1,False,casual
Men's Black valvat wedding & sherwani jutti Mojaris Mojaris For Men  (Black),3.0,Men,Flipkart,999,6.0,0.0,3.0,0.0,0.0,0,3.0,0,False,mojaris
Women Beige Heels Sandal,4.1,Women,Flipkart,1895,299.0,42.0,159.0,81.0,18.0,9,32.0,1,False,sandal
Men Tan Sandal,3.9,Men,Flipkart,1497,5932.0,786.0,3019.0,1011.0,773.0,431,698.0,1,False,sandal
"Ultralight colorblock Trending and Stylish comfortable shoes with AIRMIX sole for Sport / Gym / Casual / Outdoors / Training Sneakers, Footwear Running Shoes For Men  (Yellow)",4.2,Men,Flipkart,1299,200.0,50.0,136.0,22.0,11.0,9,22.0,1,False,sneaker
Bond Street by (Red Tape) Men's Sneakers,3.7,Men,Amazon,1199,409.0,178.0,17.0,6.0,12.0,26,40.0,1,False,sneaker
Partywear Ethnic Womens Girls Ladies Sandel Jutis For Women  (Black),4.3,Women,Flipkart,499,16.0,2.0,10.0,3.0,1.0,1,1.0,0,False,juti
Driving Suede Check Mocassin For Men  (Red),3.9,Men,Flipkart,999,7747.0,1026.0,4138.0,1325.0,920.0,413,951.0,1,False,other
Slides,3.9,Women,Flipkart,499,0.0,0.0,47.0,13.0,12.0,10,12.0,0,False,other
Women Casual & Running Shoes Combo Pack of 2 Sneakers For Women  (Multicolor),4.2,Women,Flipkart,998,15949.0,2870.0,8249.0,4284.0,1912.0,620,884.0,1,True,sneaker
Women Gold Wedges Sandal,3.8,Women,Flipkart,599,11296.0,1679.0,5153.0,2195.0,1647.0,855,1446.0,1,False,sandal
Women Black Wedges Sandal,4.1,Women,Flipkart,1690,12.0,1.0,5.0,5.0,1.0,0,1.0,1,False,sandal
Designer Rajasthani Jaipuri Silk Jutti for Women and Girls Jutis For Women  (Orange),3.7,Women,Flipkart,899,10.0,2.0,3.0,3.0,3.0,0,1.0,0,False,juti
Flip Flops,3.7,Women,Flipkart,499,646.0,88.0,293.0,123.0,90.0,52,88.0,0,False,flip
Men SFG-49 Navy Blue Fluorescent Green Flip Flops,4.2,Men,Flipkart,399,4531.0,525.0,2487.0,1094.0,479.0,163,308.0,1,False,flip
"Men Tan, Red Flats Sandal",3.7,Men,Flipkart,999,82.0,13.0,37.0,14.0,12.0,7,12.0,1,False,sandal
Running Shoes For Men  (Grey),4.1,Men,Flipkart,999,17.0,2.0,8.0,5.0,3.0,0,1.0,0,False,shoe
Mojaris For Men  (Black),3.8,Men,Flipkart,999,198.0,15.0,110.0,21.0,20.0,10,37.0,0,False,mojaris
Women Maroon Wedges Sandal,4.0,Women,Flipkart,1200,818.0,64.0,470.0,122.0,90.0,47,89.0,0,False,sandal
"Women Girl's Fashion Trendy Comfortable Bellies For Women  (Black, Red)",4.0,Women,Flipkart,519,261.0,34.0,128.0,67.0,31.0,21,14.0,1,False,bellie
"Running Shoes For Men  (Black, Red)",3.9,Men,Flipkart,949,6070.0,846.0,2899.0,1354.0,776.0,361,680.0,1,False,shoe
Women Beige Flats Sandal,4.0,Women,Flipkart,550,455.0,54.0,237.0,100.0,56.0,21,42.0,1,False,sandal
S Buckle Women's Stylish Black Boots For Women  (Black),3.7,Women,Flipkart,499,1189.0,186.0,525.0,245.0,176.0,75,168.0,0,False,boot
Men Brown Sandal,4.1,Men,Flipkart,899,1933.0,269.0,978.0,516.0,223.0,69,147.0,1,False,sandal
Men Glossy Juttis/Mojaris Mojaris For Men  (White),4.1,Men,Flipkart,850,507.0,49.0,311.0,63.0,48.0,35,50.0,0,False,mojaris
Epsom 2 IDP Flip Flops,4.4,Men,Flipkart,699,111.0,16.0,68.0,25.0,10.0,5,3.0,1,False,flip
Women Black Wedges Sandal,4.0,Women,Flipkart,999,42.0,7.0,17.0,12.0,6.0,4,1.0,0,False,sandal
Men Grey Clogs Sandal,3.7,Men,Flipkart,999,62.0,11.0,25.0,10.0,17.0,5,5.0,0,False,sandal
Electron Street Sneakers For Men  (White),4.2,Men,Flipkart,4499,719.0,102.0,444.0,139.0,54.0,25,57.0,1,False,sneaker
Women Tan Wedges Sandal,4.1,Women,Flipkart,855,1082.0,180.0,942.0,136.0,6.0,50,80.0,1,False,sandal
Jutis For Women  (Pink),4.2,Women,Flipkart,499,38.0,0.0,24.0,5.0,4.0,2,3.0,0,False,juti
Women Gold Wedges Sandal,3.6,Women,Flipkart,999,85.0,15.0,34.0,22.0,9.0,5,15.0,1,False,sandal
Boots For Women  (Black),3.7,Women,Flipkart,700,107.0,21.0,46.0,19.0,17.0,9,16.0,0,False,boot
Women SL-123 Magenta Baby Pink Walking Shoes For Women  (Red),4.3,Women,Flipkart,899,8998.0,1321.0,5182.0,2559.0,681.0,200,376.0,1,False,shoe
Boots For Women  (Maroon),4.4,Women,Flipkart,3999,5.0,1.0,3.0,1.0,1.0,0,0.0,0,False,boot
715 Belly Bellies For Women  (Maroon),5.0,Women,Flipkart,999,7.0,1.0,7.0,1.0,0.0,0,0.0,1,False,bellie
Mojari Mojaris For Men  (Tan),3.9,Men,Flipkart,1077,237.0,23.0,125.0,48.0,40.0,16,32.0,1,False,mojaris
Women Beige Wedges Sandal,3.4,Women,Flipkart,1299,31.0,6.0,12.0,3.0,5.0,5,5.0,0,False,sandal
Lace Up For Men  (Tan),4.2,Men,Flipkart,999,110.0,14.0,63.0,26.0,7.0,6,8.0,0,False,other
Mojari For Men Jutis For Men  (Silver),3.2,Men,Flipkart,999,75.0,8.0,21.0,16.0,12.0,8,18.0,0,False,juti
Women's Stylish Slippers,3.8,Women,Flipkart,499,4628.0,582.0,2055.0,1016.0,712.0,318,527.0,0,False,slipper
Women Blue Sports Sandal,4.6,Women,Flipkart,1020,19.0,5.0,14.0,2.0,3.0,0,0.0,1,False,sandal
NU 2 Wn s Running Shoe For Women  (Purple),4.1,Women,Flipkart,2999,1106.0,104.0,583.0,299.0,99.0,51,74.0,1,False,shoe
Women Pink Bellies Sandal,3.8,Women,Flipkart,499,8.0,0.0,1.0,3.0,2.0,1,0.0,0,False,sandal
"AIR STRIKE Football Shoes For Men  (Black, Green)",4.1,Men,Flipkart,699,0.0,0.0,1118.0,559.0,241.0,102,216.0,1,False,shoe
Knitted Ballerina Breathable Slip-ons Gym Training Memory Foam Sports Bellies For Women  (Orange),4.1,Women,Flipkart,1999,26.0,4.0,11.0,11.0,0.0,3,1.0,1,False,bellie
Slippers,4.0,Men,Flipkart,299,23608.0,2750.0,11255.0,6103.0,3008.0,1243,1999.0,1,False,slipper
Slip On Sneakers For Women  (Black),3.9,Women,Flipkart,3499,157.0,24.0,83.0,33.0,12.0,6,23.0,1,False,sneaker
Women Black Wedges Sandal,4.2,Women,Flipkart,279,3047.0,480.0,1745.0,679.0,348.0,114,161.0,1,False,sandal
Lace Up For Men  (Black),3.9,Men,Flipkart,1799,288.0,37.0,123.0,70.0,54.0,18,23.0,1,False,other
Stylish Flat Mules for women Bellies For Women  (White),4.0,Women,Flipkart,699,2270.0,318.0,1117.0,537.0,305.0,131,182.0,1,False,bellie
Flooristo White Casual Stylish Sneakers Shoes for Men,3.4,Men,Amazon,599,434.0,211.0,22.0,6.0,15.0,20,36.0,0,False,sneaker
"WNDR-13 Navy Blue Walking Shoes,Gym Shoes,Casual Shoes,Training Shoes,Sports Shoes, Running For Women  (Navy, Blue)",4.0,Women,Flipkart,999,7867.0,1148.0,3630.0,2046.0,1130.0,403,644.0,1,False,shoe
"Breathable, Walking, Running Sneakers For Women  (White)",4.1,Women,Flipkart,799,345.0,47.0,183.0,83.0,42.0,20,17.0,1,False,sneaker
Double Buckle Women's Ankle Lenght Black Boots For Women  (Black),3.6,Women,Flipkart,499,267.0,38.0,122.0,41.0,35.0,25,44.0,0,False,boot
Women Tan Heels Sandal,4.0,Women,Flipkart,999,246.0,31.0,130.0,52.0,27.0,9,28.0,1,False,sandal
office shoes for men Slip On For Men  (Black),3.9,Men,Flipkart,999,78.0,12.0,37.0,16.0,12.0,7,6.0,0,False,shoe
Women Off White Flats Sandal,4.1,Women,Flipkart,999,323.0,52.0,177.0,58.0,50.0,14,24.0,1,False,sandal
Walking Shoes For Men  (Multicolor),3.7,Men,Flipkart,1499,1364.0,190.0,678.0,202.0,172.0,86,226.0,1,False,shoe
"Men Green, Grey Casual Sandal",3.6,Men,Flipkart,999,0.0,44.0,171.0,160.0,57.0,31,72.0,1,False,sandal
"New Fashionable Waterproof Casual Shoes,Walking Shoes,Rubber Shoes,Lightweight Shoes Casuals For Women  (Pink)",4.0,Women,Flipkart,799,1174.0,215.0,607.0,254.0,152.0,55,106.0,1,False,shoe
Defy Mid Core Wns Training & Gym Shoes For Women  (Pink),4.4,Women,Flipkart,6999,137.0,23.0,93.0,21.0,12.0,1,10.0,1,False,shoe
Jaipuri Ethnic Womens Girls Ladies Belly Jutis For Women  (Pink),3.5,Women,Flipkart,829,30.0,6.0,14.0,5.0,1.0,2,8.0,0,False,juti
WOMEN BLACK SLIPPER Flip Flops,3.9,Men,Flipkart,249,0.0,0.0,10478.0,5239.0,2255.0,1108,1876.0,0,False,flip
Women Beige Flats Sandal,4.0,Women,Flipkart,999,290.0,42.0,150.0,63.0,29.0,18,29.0,1,False,sandal
Women Black Flats Sandal,4.1,Women,Flipkart,499,90.0,14.0,49.0,22.0,6.0,6,7.0,1,False,sandal
Perfect Stylish Girls Casual Shoes Sneakers For Women  (White),3.9,Women,Flipkart,999,1353.0,202.0,698.0,258.0,174.0,77,146.0,0,False,sneaker
Sports Mesh Running Shoes For Women  (Green),4.0,Women,Flipkart,899,940.0,130.0,448.0,257.0,101.0,42,89.0,1,False,shoe
Slip On For Men  (Black),4.1,Men,Flipkart,999,183.0,26.0,90.0,47.0,26.0,10,10.0,1,False,other
Sneakers For Women  (Off White),4.2,Women,Flipkart,1499,406.0,63.0,243.0,87.0,36.0,14,27.0,1,False,sneaker
SA 05 Slip On For Men  (Brown),4.1,Men,Flipkart,999,940.0,125.0,483.0,259.0,97.0,43,58.0,1,False,other
Boots For Women  (Tan),4.1,Women,Flipkart,1199,75.0,10.0,35.0,24.0,10.0,2,4.0,0,False,boot
Women Black Flats Sandal,3.9,Women,Flipkart,599,34.0,11.0,16.0,8.0,4.0,4,2.0,1,False,sandal
Sparx Men's Sd0402g Loafers,4.1,Men,Amazon,569,921.0,497.0,5.0,4.0,8.0,29,6.0,1,False,other
Handmade Velvet Ethnic Punjabi Rajasthani Jutti Slip On For Women  (Brown),3.8,Women,Flipkart,999,77.0,6.0,36.0,14.0,10.0,7,10.0,0,False,other
Men's Red Velvet Sherwani Jutti Mojaris Party Wear For Men  (Red),3.6,Men,Flipkart,699,52.0,5.0,21.0,11.0,7.0,3,10.0,0,False,mojaris
Women Black Wedges Sandal,4.2,Women,Flipkart,950,620.0,91.0,209.0,86.0,21.0,28,39.0,1,False,sandal
Men's Running Shoes Fashion Breathable Sneakers Mesh Soft Sole Casual Athletic Lightweight Casuals For Men  (Black),3.8,Men,Flipkart,1499,1630.0,176.0,826.0,240.0,207.0,96,261.0,0,False,sneaker
"Sports,Running,Casual Slippers",4.0,Men,Flipkart,499,2531.0,320.0,1384.0,437.0,305.0,147,258.0,1,False,casual
Women Grey Heels Sandal,4.2,Women,Flipkart,799,23.0,1.0,14.0,3.0,4.0,0,2.0,0,False,sandal
"Casual sneakers,outdoors,dancingshoes Sneakers For Men  (Black)",3.8,Men,Flipkart,999,0.0,0.0,674.0,337.0,112.0,76,149.0,1,False,sneaker
Men's Formal Slip On For Men  (Black),4.3,Men,Flipkart,999,8.0,0.0,4.0,2.0,2.0,0,0.0,0,False,other
Training & Gym Shoes For Men  (Red),3.8,Men,Flipkart,1099,287.0,38.0,149.0,42.0,32.0,24,40.0,1,False,shoe
Women Silver Wedges Sandal,3.7,Women,Flipkart,499,605.0,57.0,264.0,109.0,89.0,52,91.0,0,False,sandal
Men Yellow Sandal,4.1,Men,Flipkart,999,486.0,70.0,262.0,106.0,47.0,25,46.0,1,False,sandal
Vikky v2 Ribbon P Sneakers For Women  (White),4.0,Women,Flipkart,3999,116.0,8.0,60.0,30.0,7.0,5,14.0,1,False,sneaker
Women Black Sports Sandal,4.3,Women,Flipkart,3395,334.0,20.0,209.0,74.0,20.0,15,16.0,1,False,sandal
